#     x (arcsec)      y (arcsec)              g1              g2               z
        861.8608        596.2444         -0.3837         -0.2877           1.554
        -21.8145       -598.5419         -0.0447          0.1058           3.442
       -769.5700       -578.8757          0.0221         -0.0435           2.959
        737.1039        817.0125         -0.0526          0.0382           1.323
       -752.5866       -597.9243         -0.0436          0.7189           5.868
       -580.0361       -876.8230          0.1438          0.3872           1.136
        272.4600        546.4600         -0.1822         -0.6577           5.833
        693.2844        873.9723         -0.2425          0.5726           0.657
        826.3678       -100.7669         -0.0114         -0.0280           2.341
       -750.3587       -255.3924         -0.1815         -0.0978           4.323
       -385.0774        796.6647          0.0272          0.1087           1.448
        396.8016        347.7328         -0.2147         -0.1440           1.294
       -195.7182        676.1456          0.0472         -0.0455           3.619
       -780.3740       -495.2201         -0.1123          0.0922           4.023
       -429.3991       -887.7874          0.0170          0.2938           4.418
       -506.7600        637.6665          0.4067         -0.3537           0.953
        755.0222       -168.6584         -0.0721          0.7831           4.480
       -118.0382        505.2889          0.3020          0.3990           5.286
       -433.7402        744.1535         -0.1645          0.1513           0.961
       -168.0294        299.0931         -0.6093          0.1367           5.089
        -80.0082        561.6301          0.3308          0.5195           4.135
        790.7278       -672.9045          0.0084         -0.0333           1.848
       -163.5115        477.3394          0.1659         -0.3538           1.218
       -449.7936        361.3003          0.3905         -0.3056           2.529
       -316.1541       -201.6187          0.0402         -0.0899           4.990
       -437.7520        488.2185         -0.0734          0.6537           5.965
       -704.6422         93.6709         -0.3723          0.1990           3.980
       -831.0096        898.9697          0.5651         -0.3064           4.800
         86.4503        881.4918         -0.0730         -0.3170           5.966
        564.5197        645.0727          0.3055         -0.4711           5.454
        588.9328        376.3629          0.1298         -0.5422           0.968
       -330.7985        -89.7711         -0.0735          0.0328           3.154
       -306.4573       -772.3295         -0.4138          0.0455           0.730
        133.2782       -311.7190         -0.1465          0.0785           4.067
        609.0181       -757.6267         -0.2392          0.1506           0.531
       -673.2492        764.1270          0.0511         -0.7562           1.881
       -349.4364         33.4430         -0.1573          0.2299           3.245
        752.0275       -464.9815         -0.1214         -0.0840           4.236
       -486.2535       -309.1536         -0.3663         -0.3278           1.772
        148.6829       -420.3868          0.0357          0.1495           4.115
       -513.0855        -75.8112         -0.0717          0.5335           3.182
         46.3173        829.7105          0.0562         -0.2260           4.820
        143.7274       -826.1509          0.0268          0.2051           4.813
       -145.8413       -203.2114         -0.2031         -0.0312           1.387
        817.0748       -354.2382         -0.0075          0.0510           1.358
        840.1237        462.8814         -0.3379          0.1684           2.860
       -323.9370        577.9416          0.0659          0.0940           2.365
       -280.1009        229.3489          0.3443          0.1604           4.160
       -336.5582       -715.5690         -0.5399         -0.5071           3.584
       -659.6252        156.6926         -0.5305         -0.1348           0.755
        698.0035        676.7374         -0.2934         -0.1339           2.133
       -714.4733        872.2749          0.1250          0.8335           4.847
       -517.9816       -241.3662          0.0794         -0.0574           5.346
        490.2845         53.8813          0.0849         -0.1254           4.762
        327.0469       -748.5117          0.1020          0.0500           2.627
        241.8171        489.9844          0.2100         -0.1316           3.805
       -756.9127        479.5153          0.7609         -0.1524           2.843
         27.9035       -309.1024         -0.3783          0.1585           3.569
       -408.8942        288.9444          0.1022          0.2989           1.172
        409.9005       -268.4509          0.0477          0.4217           5.563
        263.3659        714.1026          0.1322         -0.1958           4.228
          9.3997       -721.1006          0.2614          0.1824           3.234
        809.0801       -292.6193          0.2798          0.2552           0.465
       -567.6528       -467.2692          0.3091         -0.6193           2.994
        435.2320        815.8644          0.5478          0.0122           0.451
        444.4272       -237.7690         -0.7762          0.0356           1.058
        844.4633       -475.5590         -0.1179         -0.1027           1.494
        827.4964        347.9602         -0.0383          0.5844           3.053
        182.7567        229.4266          0.1097         -0.0354           2.901
       -453.5598         10.8905         -0.3685          0.5699           5.121
       -711.1529        -95.9342          0.2667         -0.1616           1.325
        768.5584       -765.1246         -0.6925          0.1299           5.108
       -411.6154        430.7832          0.1221          0.5034           3.866
       -405.9639        205.8308          0.0089         -0.3066           1.109
       -867.2053        369.7398          0.6643          0.1626           4.491
       -686.5175        784.8841         -0.2729         -0.0272           3.970
       -848.8209        193.3049          0.1566          0.4887           3.549
       -740.5260       -862.3512         -0.0224          0.0699           2.660
       -705.9882       -380.6071          0.0701         -0.7785           3.690
       -453.9045       -716.0871          0.5076         -0.0284           4.185
       -249.4624        274.3469          0.1315          0.2554           3.993
        591.0550        486.7475          0.3618         -0.3663           2.452
        -52.6176       -829.0464         -0.2192         -0.4146           4.715
       -383.3495       -321.3308          0.0871         -0.2303           4.917
         78.4555        326.0404          0.4640          0.5878           4.881
       -477.5131       -785.4808          0.0965          0.1085           2.779
        -93.0037       -365.1247         -0.1296          0.1622           3.183
       -814.6784        701.8001          0.4344         -0.4039           1.353
        686.7297       -657.3017         -0.4213         -0.1946           5.225
        146.4570        671.7576         -0.2687         -0.5283           4.894
        535.4876       -147.2129         -0.0236          0.1502           5.800
       -221.9302       -373.4641          0.3157         -0.3678           5.047
       -616.0992       -826.8583         -0.1706         -0.0479           0.919
        110.1555       -891.5873          0.2472         -0.1017           2.137
        788.8519       -657.9170         -0.0035         -0.0223           0.946
       -835.2175        169.7286         -0.0782         -0.0357           1.650
        477.5906       -197.5433         -0.0453         -0.1524           3.278
        560.3142       -689.5098          0.3335          0.0240           2.969
       -701.0106        819.7312         -0.2045          0.0908           0.749
        644.9915       -742.1414         -0.1394         -0.1654           1.741
       -208.4891        164.0786          0.3896         -0.2416           5.289
